# log2(N) r_max error
1.000000 1.000000 9.384471871912e-01
1.000000 2.000000 1.909830056251e-01
1.000000 3.000000 1.666666666667e-01
1.000000 4.000000 1.982233047034e-01
1.000000 5.000000 2.319375152513e-01
1.000000 6.000000 2.609569090149e-01
1.000000 7.000000 2.850790025684e-01
1.000000 8.000000 3.051228757031e-01
1.000000 9.000000 3.219206308531e-01
1.000000 10.000000 3.361483519287e-01
1.000000 11.000000 3.483276863193e-01
1.000000 12.000000 3.588572547199e-01
1.000000 13.000000 3.680429866605e-01
1.000000 14.000000 3.761218883200e-01
1.000000 15.000000 3.832796117861e-01
1.000000 16.000000 3.896632372999e-01
1.000000 17.000000 3.953905723243e-01
1.000000 18.000000 4.005569615516e-01
1.000000 19.000000 4.052403215527e-01
2.000000 1.000000 1.556540516816e+00
2.000000 2.000000 2.043159047472e-01
2.000000 3.000000 8.869962235054e-02
2.000000 4.000000 9.342374987735e-02
2.000000 5.000000 1.175235585292e-01
2.000000 6.000000 1.438153947862e-01
2.000000 7.000000 1.685884296710e-01
2.000000 8.000000 1.910568433191e-01
2.000000 9.000000 2.111970063320e-01
2.000000 10.000000 2.291995036845e-01
2.000000 11.000000 2.453050017559e-01
2.000000 12.000000 2.597497571183e-01
2.000000 13.000000 2.727477055969e-01
2.000000 14.000000 2.844860818596e-01
2.000000 15.000000 2.951262109408e-01
2.000000 16.000000 3.048061439993e-01
2.000000 17.000000 3.136437551723e-01
2.000000 18.000000 3.217397315777e-01
2.000000 19.000000 3.291802454311e-01
3.000000 1.000000 2.093356663542e+00
3.000000 2.000000 2.575607196126e-01
3.000000 3.000000 6.275979122616e-02
3.000000 4.000000 3.741227047842e-02
3.000000 5.000000 4.315841348431e-02
3.000000 6.000000 5.600068218289e-02
3.000000 7.000000 7.069021368028e-02
3.000000 8.000000 8.581104591839e-02
3.000000 9.000000 1.008365024295e-01
3.000000 10.000000 1.155018643929e-01
3.000000 11.000000 1.296553534499e-01
3.000000 12.000000 1.432109871872e-01
3.000000 13.000000 1.561260872427e-01
3.000000 14.000000 1.683871410569e-01
3.000000 15.000000 1.800000067995e-01
3.000000 16.000000 1.909830082502e-01
3.000000 17.000000 2.013620985524e-01
3.000000 18.000000 2.111675164058e-01
3.000000 19.000000 2.204315098211e-01
4.000000 1.000000 2.447925120821e+00
4.000000 2.000000 3.062208877242e-01
4.000000 3.000000 6.247803103980e-02
4.000000 4.000000 1.959826543975e-02
4.000000 5.000000 1.408489891419e-02
4.000000 6.000000 1.691918277709e-02
4.000000 7.000000 2.196931818711e-02
4.000000 8.000000 2.788145345560e-02
4.000000 9.000000 3.431252523879e-02
4.000000 10.000000 4.112669100410e-02
4.000000 11.000000 4.823314422780e-02
4.000000 12.000000 5.555558274875e-02
4.000000 13.000000 6.302692862108e-02
4.000000 14.000000 7.058844003712e-02
4.000000 15.000000 7.818935500575e-02
4.000000 16.000000 8.578643769924e-02
4.000000 17.000000 9.334338770763e-02
4.000000 18.000000 1.008301650622e-01
4.000000 19.000000 1.082222849099e-01
5.000000 1.000000 2.651336140668e+00
5.000000 2.000000 3.378192133062e-01
5.000000 3.000000 6.727891552912e-02
5.000000 4.000000 1.594510696943e-02
5.000000 5.000000 5.893116906521e-03
5.000000 6.000000 4.878279365876e-03
5.000000 7.000000 5.945868917207e-03
5.000000 8.000000 7.595929330485e-03
5.000000 9.000000 9.518162008424e-03
5.000000 10.000000 1.164559832537e-02
5.000000 11.000000 1.395748089435e-02
5.000000 12.000000 1.644113133837e-02
5.000000 13.000000 1.908505300634e-02
5.000000 14.000000 2.187781383854e-02
5.000000 15.000000 2.480795113768e-02
5.000000 16.000000 2.786404501501e-02
5.000000 17.000000 3.103481091064e-02
5.000000 18.000000 3.430918505019e-02
5.000000 19.000000 3.767639828425e-02
6.000000 1.000000 2.760173820575e+00
6.000000 2.000000 3.556763840906e-01
6.000000 3.000000 7.113344192792e-02
6.000000 4.000000 1.575159762421e-02
6.000000 5.000000 3.950599329479e-03
6.000000 6.000000 1.721690667901e-03
6.000000 7.000000 1.603183410346e-03
6.000000 8.000000 1.958744707610e-03
6.000000 9.000000 2.451340723071e-03
6.000000 10.000000 3.015660271960e-03
6.000000 11.000000 3.639169711679e-03
6.000000 12.000000 4.318956178770e-03
6.000000 13.000000 5.053742096852e-03
6.000000 14.000000 5.842476607613e-03
6.000000 15.000000 6.684098004781e-03
6.000000 16.000000 7.577497539581e-03
6.000000 17.000000 8.521517051143e-03
6.000000 18.000000 9.514952221757e-03
6.000000 19.000000 1.055655678266e-02
7.000000 1.000000 2.816449630240e+00
7.000000 2.000000 3.651504247290e-01
7.000000 3.000000 7.344917115843e-02
7.000000 4.000000 1.609291024200e-02
7.000000 5.000000 3.565881753381e-03
7.000000 6.000000 9.458907795288e-04
7.000000 7.000000 4.992541849900e-04
7.000000 8.000000 5.098630640880e-04
7.000000 9.000000 6.203442179524e-04
7.000000 10.000000 7.612716858096e-04
7.000000 11.000000 9.198704366613e-04
7.000000 12.000000 1.093848432657e-03
7.000000 13.000000 1.282763103393e-03
7.000000 14.000000 1.486483657353e-03
7.000000 15.000000 1.704926991650e-03
7.000000 16.000000 1.938013621951e-03
7.000000 17.000000 2.185660545058e-03
7.000000 18.000000 2.447780167276e-03
7.000000 19.000000 2.724280214797e-03
8.000000 1.000000 2.845060803952e+00
8.000000 2.000000 3.700277113338e-01
8.000000 3.000000 7.470706592085e-02
8.000000 4.000000 1.637591438827e-02
8.000000 5.000000 3.523875822019e-03
8.000000 6.000000 7.647663974406e-04
8.000000 7.000000 2.248259572107e-04
8.000000 8.000000 1.456490436742e-04
8.000000 9.000000 1.584969726784e-04
8.000000 10.000000 1.912794414589e-04
8.000000 11.000000 2.306899456905e-04
8.000000 12.000000 2.743752212681e-04
8.000000 13.000000 3.219298914650e-04
8.000000 14.000000 3.732828074404e-04
8.000000 15.000000 4.284184000569e-04
8.000000 16.000000 4.873299086564e-04
8.000000 17.000000 5.500117055070e-04
8.000000 18.000000 6.164580592867e-04
8.000000 19.000000 6.866629401985e-04
9.000000 1.000000 2.859485817221e+00
9.000000 2.000000 3.725019104405e-01
9.000000 3.000000 7.536137118079e-02
9.000000 4.000000 1.654579657625e-02
9.000000 5.000000 3.540763658155e-03
9.000000 6.000000 7.263227460844e-04
9.000000 7.000000 1.576971181620e-04
9.000000 8.000000 5.476221680356e-05
9.000000 9.000000 4.283429448054e-05
9.000000 10.000000 4.838682223884e-05
9.000000 11.000000 5.780154324631e-05
9.000000 12.000000 6.866474390704e-05
9.000000 13.000000 8.056255246480e-05
9.000000 14.000000 9.342563861381e-05
9.000000 15.000000 1.072424165622e-04
9.000000 16.000000 1.220107557113e-04
9.000000 17.000000 1.377300308337e-04
9.000000 18.000000 1.543998380542e-04
9.000000 19.000000 1.720197898719e-04
